Grade,Race,SPED,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level
7.0,H,,14.0,30.0,Not Met
7.0,H,,14.0,30.0,Not Met
7.0,H,,14.0,30.0,Not Met
7.0,H,,14.0,30.0,Not Met
7.0,H,,13.0,28.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,,11.0,24.0,Not Met
7.0,B,,10.0,22.0,Not Met
7.0,B,,8.0,17.0,Not Met
7.0,H,,43.0,93.0,Masters
7.0,H,,39.0,85.0,Masters
7.0,H,,35.0,76.0,Meets
7.0,H,,33.0,72.0,Meets
7.0,H,,31.0,67.0,Meets
7.0,H,,30.0,65.0,Meets
7.0,B,,24.0,52.0,Appr
7.0,H,,24.0,52.0,Appr
7.0,T,,24.0,52.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,H,,22.0,48.0,Appr
7.0,H,,22.0,48.0,Appr
7.0,B,,21.0,46.0,Appr
7.0,B,,18.0,39.0,Not Met
7.0,H,,15.0,33.0,Not Met
7.0,B,,12.0,26.0,Not Met
7.0,W,,12.0,26.0,Not Met
7.0,H,Y,32.0,70.0,Meets
7.0,W,,25.0,54.0,Appr
7.0,H,,24.0,52.0,Appr
7.0,B,,23.0,50.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,B,,22.0,48.0,Appr
7.0,H,,19.0,41.0,Not Met
7.0,H,,19.0,41.0,Not Met
7.0,H,,19.0,41.0,Not Met
7.0,B,,16.0,35.0,Not Met
7.0,B,,16.0,35.0,Not Met
7.0,H,,15.0,33.0,Not Met
7.0,H,,15.0,33.0,Not Met
7.0,H,Y,15.0,33.0,Not Met
7.0,H,,14.0,30.0,Not Met
7.0,W,,13.0,28.0,Not Met
7.0,B,,12.0,26.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,,10.0,22.0,Not Met
7.0,H,,9.0,20.0,Not Met
7.0,H,,7.0,15.0,Not Met
7.0,H,,7.0,15.0,Not Met
7.0,H,,6.0,13.0,Not Met
7.0,H,,42.0,91.0,Masters
7.0,A,,39.0,85.0,Masters
7.0,H,,37.0,80.0,Meets
7.0,H,,35.0,76.0,Meets
7.0,T,,34.0,74.0,Meets
7.0,H,,33.0,72.0,Meets
7.0,H,,31.0,67.0,Meets
7.0,H,,29.0,63.0,Meets
7.0,H,,27.0,59.0,Meets
7.0,B,,24.0,52.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,H,,23.0,50.0,Appr
7.0,H,,22.0,48.0,Appr
7.0,B,,21.0,46.0,Appr
7.0,T,,21.0,46.0,Appr
7.0,H,,18.0,39.0,Not Met
7.0,H,,12.0,26.0,Not Met
7.0,H,Y,16.0,35.0,Not Met
7.0,B,Y,11.0,24.0,Not Met
7.0,H,Y,16.0,35.0,Not Met
7.0,B,Y,8.0,17.0,Not Met
7.0,B,Y,8.0,17.0,Not Met
7.0,H,,34.0,74.0,Meets
7.0,H,Y,15.0,33.0,Not Met
7.0,H,Y,14.0,30.0,Not Met
7.0,H,Y,11.0,24.0,Not Met
7.0,H,Y,10.0,22.0,Not Met
7.0,H,,7.0,15.0,Not Met
7.0,H,Y,21.0,46.0,Appr
7.0,H,Y,17.0,37.0,Not Met
7.0,H,Y,11.0,24.0,Not Met
7.0,B,Y,10.0,22.0,Not Met
7.0,H,Y,10.0,22.0,Not Met
7.0,H,Y,8.0,17.0,Not Met
7.0,B,Y,34.0,74.0,Meets
7.0,B,Y,25.0,54.0,Appr
7.0,H,,14.0,30.0,Not Met
7.0,W,Y,12.0,26.0,Not Met
7.0,H,Y,7.0,15.0,Not Met
8.0,H,,40.0,83.0,Masters
8.0,B,,39.0,81.0,Masters
8.0,H,,39.0,81.0,Masters
8.0,B,,37.0,77.0,Masters
8.0,B,,34.0,71.0,Meets
8.0,B,,30.0,63.0,Meets
8.0,T,,30.0,63.0,Meets
8.0,H,,29.0,60.0,Meets
8.0,H,,28.0,58.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,H,,26.0,54.0,Meets
8.0,H,,25.0,52.0,Appr
8.0,B,,24.0,50.0,Appr
8.0,B,,22.0,46.0,Appr
8.0,H,,14.0,29.0,Not Met
8.0,H,,14.0,29.0,Not Met
8.0,H,,12.0,25.0,Not Met
8.0,H,,12.0,25.0,Not Met
8.0,B,,37.0,77.0,Masters
8.0,B,,36.0,75.0,Meets
8.0,B,,34.0,71.0,Meets
8.0,H,,31.0,65.0,Meets
8.0,H,,29.0,60.0,Meets
8.0,H,,25.0,52.0,Appr
8.0,H,,22.0,46.0,Appr
8.0,H,,21.0,44.0,Appr
8.0,H,Y,18.0,38.0,Appr
8.0,H,,18.0,38.0,Appr
8.0,H,,18.0,38.0,Appr
8.0,H,,18.0,38.0,Appr
8.0,H,,17.0,35.0,Not Met
8.0,H,,17.0,35.0,Not Met
8.0,H,,15.0,31.0,Not Met
8.0,H,,14.0,29.0,Not Met
8.0,H,,13.0,27.0,Not Met
8.0,H,,40.0,83.0,Masters
8.0,B,,36.0,75.0,Meets
8.0,H,,34.0,71.0,Meets
8.0,H,,33.0,69.0,Meets
8.0,H,,33.0,69.0,Meets
8.0,H,,28.0,58.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,H,,27.0,56.0,Meets
8.0,H,,25.0,52.0,Appr
8.0,H,,22.0,46.0,Appr
8.0,H,,20.0,42.0,Appr
8.0,H,,14.0,29.0,Not Met
8.0,H,,9.0,19.0,Not Met
8.0,H,,7.0,15.0,Not Met
8.0,H,,44.0,92.0,Masters
8.0,H,,40.0,83.0,Masters
8.0,H,,35.0,73.0,Meets
8.0,H,,33.0,69.0,Meets
8.0,B,,30.0,63.0,Meets
8.0,H,,28.0,58.0,Meets
8.0,H,,28.0,58.0,Meets
8.0,B,,26.0,54.0,Meets
8.0,H,,25.0,52.0,Appr
8.0,H,,23.0,48.0,Appr
8.0,H,,22.0,46.0,Appr
8.0,H,,22.0,46.0,Appr
8.0,B,,20.0,42.0,Appr
8.0,H,,17.0,35.0,Not Met
8.0,H,,14.0,29.0,Not Met
8.0,H,,13.0,27.0,Not Met
8.0,H,,11.0,23.0,Not Met
8.0,H,,9.0,19.0,Not Met
8.0,H,,9.0,19.0,Not Met
8.0,H,,42.0,88.0,Masters
8.0,H,,36.0,75.0,Meets
8.0,H,,34.0,71.0,Meets
